country,avgtemp,avghumidity,pop,density,medianage,urbanpop,hospibed,smokers,sexratio,gdp2019,healthperpop,fertility,totalcases
Portugal,17.28,75.62,10196709.00,111.00,46.00,66.00,3.40,22.60,0.96,236408.00,260.97,1.53,9886.00
Qatar,22.92,56.98,2881053.00,248.00,32.00,96.00,1.20,,3.41,191849.00,1353.67,1.90,949.00
Romania,11.57,62.10,19237691.00,84.00,43.00,55.00,6.30,29.80,0.95,243698.00,56.66,1.35,3183.00
Russia,2.02,85.47,145934462.00,9.00,40.00,74.00,8.20,40.90,0.86,1637892.00,9.69,1.61,4149.00
Rwanda,26.53,81.08,12952218.00,525.00,20.00,18.00,1.60,,1.00,10209.00,11.04,3.87,84.00
Saint Lucia,27.08,75.30,183627.00,301.00,34.00,19.00,1.30,,0.95,1992.00,3708.60,1.75,13.00
Saint Vincent and the Grenadines,26.33,76.53,115000.00,307.00,33.00,78.00,2.60,,1.03,856.00,4086.96,1.80,3.00
Saudi Arabia,24.50,26.55,34813871.00,16.00,32.00,84.00,2.70,15.40,1.19,779289.00,89.65,2.09,2039.00
Senegal,24.35,63.32,16743927.00,87.00,19.00,49.00,0.30,12.05,0.94,23940.00,5.79,4.28,207.00
Serbia,11.45,63.88,8737371.00,100.00,42.00,56.00,5.70,41.65,0.95,51523.00,151.53,1.44,1476.00
Seychelles,20.68,43.27,98347.00,214.00,34.00,56.00,3.60,25.90,1.06,1644.00,8815.72,1.85,10.00
Singapore,30.20,76.48,5850342.00,8358.00,42.00,99.00,2.40,16.50,0.96,362818.00,629.19,0.83,1114.00
Slovakia,9.03,71.78,5459642.00,114.00,41.00,54.00,4.80,28.65,0.94,106552.00,377.68,1.41,450.00
Slovenia,9.07,79.47,2078938.00,103.00,45.00,55.00,4.60,20.20,0.95,54154.00,1315.09,1.36,934.00
Somalia,29.20,76.47,15893222.00,25.00,17.00,47.00,0.90,,1.01,4958.00,10.95,5.80,5.00
South Africa,29.82,47.68,59308690.00,49.00,28.00,67.00,2.80,18.95,0.98,358839.00,18.31,2.29,1505.00
Spain,16.13,65.67,46754778.00,94.00,45.00,80.00,3.00,29.20,0.98,1397870.00,68.08,1.50,117710.00
Sri Lanka,32.28,75.18,21413249.00,341.00,34.00,18.00,3.60,14.40,0.96,86566.00,16.49,2.07,152.00
Sudan,38.15,29.83,43849260.00,25.00,20.00,35.00,0.80,,1.02,30873.00,6.32,3.57,10.00
Suriname,29.85,75.87,586632.00,4.00,29.00,65.00,3.10,,1.01,3774.00,1733.63,1.93,10.00
Sweden,4.65,76.78,10099265.00,25.00,41.00,88.00,2.60,20.60,1.00,528929.00,524.69,1.88,6078.00
Switzerland,9.45,78.63,8654622.00,219.00,43.00,74.00,4.70,23.30,0.97,715360.00,876.18,1.56,19303.00
Taiwan*,20.82,71.53,23816775.00,673.00,42.00,79.00,10.40,,0.99,586104.00,157.49,1.13,348.00
Tanzania,25.90,86.98,59734218.00,67.00,18.00,37.00,0.70,15.65,0.99,62224.00,1.61,4.77,20.00
Thailand,35.27,53.58,69799978.00,137.00,40.00,51.00,2.10,21.85,0.97,529177.00,8.74,1.52,1978.00
Togo,32.80,68.15,8278724.00,152.00,19.00,43.00,0.80,,0.98,5502.00,11.60,4.38,40.00
Tunisia,18.50,67.60,11818619.00,76.00,33.00,70.00,2.30,,0.99,38732.00,65.49,2.23,455.00
Turkey,8.70,67.53,84339067.00,110.00,32.00,76.00,2.70,25.95,1.01,743708.00,11.81,2.01,18135.00
US,13.75,73.40,331002651.00,36.00,38.00,83.00,2.90,17.25,0.97,21439453.00,28.81,1.87,257379.00
Ukraine,6.43,74.58,43733762.00,75.00,41.00,69.00,8.80,31.70,0.86,150401.00,10.72,1.54,942.00
United Arab Emirates,21.93,92.32,9890402.00,118.00,33.00,86.00,1.20,,2.18,405771.00,245.29,2.32,1024.00
United Kingdom,6.43,74.58,67886011.00,281.00,40.00,83.00,2.80,19.15,0.99,2743586.00,61.06,1.88,38168.00
Uruguay,28.70,55.98,3473730.00,20.00,36.00,96.00,2.80,23.05,0.94,59918.00,503.21,1.80,369.00
Uzbekistan,13.57,52.05,33469203.00,79.00,28.00,50.00,4.00,13.10,0.99,60490.00,11.44,1.76,221.00
Venezuela,24.78,79.52,28435940.00,32.00,30.00,80.00,0.80,,0.99,70140.00,20.36,2.32,146.00
Vietnam,24.17,73.75,97338579.00,314.00,32.00,38.00,2.60,24.20,1.00,261637.00,3.43,1.81,237.00
Zambia,24.97,87.77,18383955.00,25.00,18.00,45.00,2.00,15.55,1.00,23946.00,11.04,5.63,39.00
